lemma,noun_count,verb_count,majority_tag,human_score1,human_score2,human_score3,human_score4,human_score5,mean_score
aim,137,98,NOUN,2,2,2,2,2,2.00
answer,480,335,NOUN,2,2,2,2,2,2.00
attempt,302,214,NOUN,2,2,2,2,2,2.00
care,403,249,NOUN,2,2,2,2,2,2.00
control,519,179,NOUN,2,2,2,2,2,2.00
cost,234,192,NOUN,2,2,2,2,2,2.00
count,143,220,VERB,2,2,2,2,2,2.00
damage,270,82,NOUN,2,2,2,2,2,2.00
dance,81,97,VERB,2,2,2,2,2,2.00
doubt,261,132,NOUN,2,2,2,2,2,2.00
drink,456,315,NOUN,2,2,2,2,2,2.00
end,1171,244,NOUN,2,2,2,2,2,2.00
escape,95,111,VERB,2,2,2,2,2,2.00
estimate,96,118,VERB,2,2,2,2,2,2.00
fear,209,99,NOUN,2,2,2,2,2,2.00
glance,101,161,VERB,2,2,2,2,2,2.00
help,200,897,VERB,2,2,2,2,2,2.00
influence,204,150,NOUN,2,2,2,2,2,2.00
lack,194,107,NOUN,2,2,2,2,2,2.00
link,147,176,VERB,2,2,2,2,2,2.00
love,495,573,VERB,2,2,2,2,2,2.00
move,131,1272,VERB,2,2,2,2,2,2.00
name,960,112,NOUN,2,2,2,2,2,2.00
need,587,2350,VERB,2,2,2,2,2,2.00
phone,382,238,NOUN,2,2,2,2,2,2.00
plan,321,161,NOUN,2,2,2,2,2,2.00
question,1285,96,NOUN,2,2,2,2,2,2.00
rain,182,92,NOUN,2,2,2,2,2,2.00
result,752,206,NOUN,2,2,2,2,2,2.00
return,138,441,VERB,2,2,2,2,2,2.00
search,215,163,NOUN,2,2,2,2,2,2.00
sleep,171,291,VERB,2,2,2,2,2,2.00
smell,141,149,VERB,2,2,2,2,2,2.00
smile,211,422,VERB,2,2,2,2,2,2.00
talk,119,1302,VERB,2,2,2,2,2,2.00
use,791,2801,VERB,2,2,2,2,2,2.00
view,811,102,NOUN,2,2,2,2,2,2.00
visit,136,203,VERB,2,2,2,2,2,2.00
vote,124,93,NOUN,2,2,2,2,2,2.00
walk,144,914,VERB,2,2,2,2,2,2.00
dream,254,107,NOUN,2,2,2,1,2,1.80
record,1057,276,NOUN,2,2,2,2,1,1.80
report,313,331,VERB,1,2,2,2,2,1.80
test,273,126,NOUN,2,2,2,1,2,1.80
touch,145,271,VERB,2,1,2,2,2,1.80
call,209,1558,VERB,2,2,0,2,2,1.60
change,889,858,NOUN,2,2,2,0,2,1.60
claim,222,239,VERB,2,2,0,2,2,1.60
cut,92,488,VERB,2,2,2,2,0,1.60
demand,169,142,NOUN,2,2,2,2,0,1.60
design,246,153,NOUN,2,2,2,2,0,1.60
experience,522,150,NOUN,2,2,2,0,2,1.60
hope,114,571,VERB,2,2,2,0,2,1.60
increase,252,399,VERB,2,2,2,0,2,1.60
judge,80,96,VERB,2,2,2,0,2,1.60
limit,125,134,VERB,2,2,2,2,0,1.60
load,230,87,NOUN,2,2,0,2,2,1.60
offer,93,489,VERB,2,0,2,2,2,1.60
rise,164,283,VERB,2,2,2,2,0,1.60
smoke,128,100,NOUN,2,2,2,0,2,1.60
start,159,1269,VERB,2,2,2,0,2,1.60
step,401,167,NOUN,2,2,0,2,2,1.60
study,1037,211,NOUN,1,1,2,2,2,1.60
support,290,292,VERB,2,2,0,2,2,1.60
trust,90,126,VERB,2,2,0,2,2,1.60
waste,103,98,NOUN,2,2,2,2,0,1.60
work,1665,1593,NOUN,2,0,2,2,2,1.60
base,109,378,VERB,1,2,2,0,2,1.40
cover,137,399,VERB,2,1,0,2,2,1.40
plant,591,82,NOUN,1,2,2,0,2,1.40
run,152,999,VERB,1,2,0,2,2,1.40
stress,159,106,NOUN,1,0,2,2,2,1.40
approach,409,175,NOUN,2,0,2,2,0,1.20
cause,237,530,VERB,2,2,0,2,0,1.20
match,110,123,VERB,2,0,0,2,2,1.20
miss,320,410,VERB,2,0,0,2,2,1.20
process,720,91,NOUN,2,2,0,0,2,1.20
shift,96,104,VERB,0,2,2,0,2,1.20
show,132,1843,VERB,0,2,2,0,2,1.20
sound,313,496,VERB,2,2,0,0,2,1.20
dress,191,196,VERB,0,1,2,2,0,1.00
lead,107,716,VERB,2,2,0,1,0,1.00
light,669,124,NOUN,0,1,2,0,2,1.00
look,699,5893,VERB,2,1,0,0,2,1.00
mark,562,198,NOUN,0,2,1,2,0,1.00
measure,226,223,NOUN,1,2,0,2,0,1.00
rest,414,132,NOUN,0,2,0,2,1,1.00
tie,82,112,VERB,1,0,2,0,2,1.00
break,117,519,VERB,0,2,0,2,0,0.80
charge,392,115,NOUN,0,0,2,0,2,0.80
drive,88,476,VERB,0,1,2,1,0,0.80
focus,92,168,VERB,1,2,0,1,0,0.80
force,470,188,NOUN,2,1,0,0,1,0.80
grant,108,87,NOUN,2,0,0,2,0,0.80
note,287,361,VERB,2,2,0,0,0,0.80
sense,536,88,NOUN,0,2,2,0,0,0.80
tear,124,89,NOUN,0,0,2,2,0,0.80
account,337,122,NOUN,0,1,0,2,0,0.60
act,644,268,NOUN,1,2,0,0,0,0.60
back,764,88,NOUN,1,0,2,0,0,0.60
face,1185,281,NOUN,0,2,0,1,0,0.60
hold,130,1251,VERB,1,0,0,0,2,0.60
land,393,123,NOUN,1,0,2,0,0,0.60
lift,100,165,VERB,1,0,0,2,0,0.60
matter,572,294,NOUN,0,0,1,0,2,0.60
order,841,133,NOUN,1,2,0,0,0,0.60
place,1643,341,NOUN,1,0,0,0,2,0.60
press,130,188,VERB,0,0,0,2,1,0.60
roll,135,201,VERB,1,2,0,0,0,0.60
sort,1613,216,NOUN,0,2,0,0,1,0.60
fire,444,89,NOUN,0,0,0,0,2,0.40
form,1272,354,NOUN,0,0,0,2,0,0.40
notice,115,387,VERB,0,0,0,0,2,0.40
play,185,1093,VERB,0,0,0,0,2,0.40
turn,226,1566,VERB,0,0,0,2,0,0.40
wave,402,120,NOUN,0,0,2,0,0,0.40
cross,102,215,VERB,1,0,0,0,0,0.20
deal,191,315,VERB,1,0,0,0,0,0.20
hand,1765,127,NOUN,1,0,0,0,0,0.20
present,219,353,VERB,0,1,0,0,0,0.20
set,387,652,VERB,0,1,0,0,0,0.20
share,104,232,VERB,1,0,0,0,0,0.20
sign,284,121,NOUN,1,0,0,0,0,0.20
suit,162,108,NOUN,0,0,1,0,0,0.20
wind,189,82,NOUN,0,1,0,0,0,0.20
address,257,148,NOUN,0,0,0,0,0,0.00
bear,110,394,VERB,0,0,0,0,0,0.00
head,1355,96,NOUN,0,0,0,0,0,0.00
mind,736,620,NOUN,0,0,0,0,0,0.00
park,179,105,NOUN,0,0,0,0,0,0.00
point,1534,469,NOUN,0,0,0,0,0,0.00
ring,185,387,VERB,0,0,0,0,0,0.00
square,225,82,NOUN,0,0,0,0,0,0.00
state,471,156,NOUN,0,0,0,0,0,0.00
stick,109,294,VERB,0,0,0,0,0,0.00
store,95,158,VERB,0,0,0,0,0,0.00
train,224,94,NOUN,0,0,0,0,0,0.00
watch,119,940,VERB,0,0,0,0,0,0.00